source,hive_object_db_name,hive_object_name,hive_object_s3prefix_data_size_gb,hive_object_classification,hive_object_columns,hive_object_type,hive_object_s3bucket,hive_object_s3prefix,hive_object_partition_columns,hive_object_creation_date,hive_object_last_access_date,hive_object_last_accessed_num_of_days_ago,hive_object_s3prefix_last_modified_dt,hive_object_s3prefix_last_modified_num_of_days_ago,hive_object_access_status,hive_object_distinct_users_accessed_in_last_90_days,hive_object_write_iam_roles,s3bucket,s3prefix,s3prefix_data_size_gb,s3prefix_sub_classification,s3prefix_last_modified_dt,s3prefix_last_modified_num_of_days_ago,s3prefix_access_status,s3prefix_write_iam_roles
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/prod_omega_omniture_order_attr/20171011/logs/j-OGKIHQCLS7RV/containers/application_1507692013614_0002/container_1507692013614_0002_01_000037,0.02,prod,2017-10-11,2291,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,searchmetadata/valid_model_weight/modelName=searchrel_v0/runDt=2023-09-20/PowerNet_Multilingual/stepId=2567986/wrapper/app_Faiss_SC__2023-09-21-19-00/ca_fr,0.02,prod,2023-09-22,119,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160726/logs/j-JXSRW1TM31MD/containers/application_1469505960758_0001/container_1469505960758_0001_01_025987,0.01,prod,2016-07-26,2733,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,prod/modelName=propensity_app/runDt=2019-06-13/feature_okera/stepId=0047070/score_okera_feature,1.21,prod,2019-06-28,1666,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,ck/prod/campaign/gem/audience_output/archive/2020-04-07/us_weekly_C16274_20200409_EADH,1.14,prod,2020-04-07,1382,Inactive,"CDEAYOPWG, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-ingress-secure-east,cde/prod/archive/urban-airship/PUSH_BODY/2018_12_16/9Zoc5m6PQd6P1GaVjKYkhQ,0.03,prod,2018-12-17,1859,Inactive,"RDFengineeringWG, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--marketplace-ops-analytics--prod--us-east-1,preprod/curated/closed_demand/delivery_staging/uX,0.37,prod,2023-12-17,33,Active,GlobalSupplyChain
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--reliability-operations--prod--us-east-1,R6SH7-84RFL-GQQ8S-CW6MF-W5RWR/2020-01-23/23/104.79.197.61,0.04,prod,2020-01-24,1456,Inactive,"QualityAnalyticsWG, QualityAnalytics"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,csengineeringwg/csdw/salesforce/consumer/archive/20221214/16,0.01,prod,2022-12-14,401,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap2-us-e1-platform,emr/platform/log/j-620YOCSZW39K/containers/application_1702469332618_0102/container_1702469332618_0102_01_000001,0.02,prod,2023-12-14,36,Active,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-archive-east,cde/prod/merch_product/product_feed/received_date=2023-09-03/10_11,15.92,prod,2023-09-03,138,Inactive,"GCKengineering, EUBI, RDFengineeringNonProd, GCKengineeringWG, RDFengineeringWG, DTCengineeringWG, RDFengineering, DTCengineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-test,modelName=JP_buildDataALS_v1_01/runDt=2023-12-31/trainALS/stepId=2978766/user_factors_train,3.29,prod,2024-01-01,18,Active,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity__metric_summary/20160503/logs/j-3I4QWD2YYB86T/containers/application_1462262032476_0002/container_1462262032476_0002_01_020552,0.01,prod,2016-05-03,2817,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--fulfillment--prod--us-east-1,prod/curated/Curated_Staging/Delivery_Date_Event/2023-04-01-06:52:07_US_NA,0.01,prod,2023-04-01,293,Inactive,"SCinv, DSMimengineering, RDFengineeringWG, RDFengineering, SCTransportation"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity__metric_summary/20160702/logs/j-1K7M6RM6LXX23/containers/application_1467425871114_0002/container_1467425871114_0002_01_010959,0.01,prod,2016-07-02,2757,Inactive,"RFSengineeringWG, Alpha"
